record_id,start_partition_idx,channel,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,triangular_index,tinn,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,entropy,sd1,sd2,ratio_sd2_sd1,csi,cvi,Modified_csi,label
418,24624,ECG_0,569.9022199175465,70.2163506017912,65.20485761196106,215,39.23357664233577,257,46.8978102189781,65.20485802051455,544.0,532.0,0.11441411481069225,0.12320771554802877,106.87699865062069,200.0,72.11538461538461,13.494760020134708,4.322834645669292,,444.41404229788566,1971.34324913221,0.22543716955102455,18.396469044073484,81.6035309559265,2676.826363091519,261.0690716614234,0.6259146097749797,46.148922891990935,87.9258136133889,1.9052625305941489,1.9052625305941489,4.812397947488241,670.0870325983792,1
418,24624,ECG_1,553.9274136336408,101.17957092156198,79.35662581726368,275,47.49568221070812,352,60.79447322970639,79.35662611797491,540.0,945.7083028496629,0.14326177792395772,0.1826585368971838,112.25574481394237,228.75295196862422,49.66887417218543,23.01270638787194,5.37037037037037,,1947.9038086422822,3946.590868138823,0.49356618755895926,33.04615434322528,66.95384565677472,7146.774933148101,1252.2802563669952,0.5683744814967923,56.162128453896464,131.6070912651397,2.343342300019417,2.343342300019417,5.072842831751275,1233.6018557764712,1
418,58092,ECG_0,560.6921583654402,108.2661811928842,83.84791300993078,312,55.51601423487544,366,65.12455516014235,83.84791784324543,540.0,816.6868647720262,0.1495435892802271,0.1930938030389217,111.71466115972011,254.9793913623707,57.034220532319395,26.14843063644981,5.804123711340206,,2571.830904795155,4348.296785046394,0.5914570766281574,37.16450071536242,62.835499284637585,9235.213524779907,2315.0858349383584,0.6674420764654697,59.342246977560364,141.14400342853781,2.378474200377177,2.378474200377177,5.12714640105012,1342.8294827708996,1
418,58092,ECG_1,551.7412546656633,129.8782484910494,90.62918088923635,336,57.142857142857146,420,71.42857142857143,90.62992536920325,540.0,945.7091910699819,0.16426164366505808,0.23539702241361535,115.29188616459747,228.75372661650763,49.66887417218543,29.85303497696745,7.95945945945946,,6438.819607553339,6491.748849027343,0.9918466898974482,49.79533289022933,50.204667109770675,14735.138321614355,1804.569865033674,0.7524313966072617,64.13907161557155,172.11303946679382,2.6834351531993264,2.6834351531993264,5.247056426260609,1847.4167217167103,1
418,60775,ECG_0,556.1041937683566,104.47756598715668,82.78947480146239,325,57.01754385964912,383,67.19298245614036,82.78947509887894,540.0,596.6868647720262,0.1488740348060828,0.18787408395390823,112.65916293290697,254.9793913623707,72.11538461538461,26.793791095800955,6.139784946236559,,1925.5845861685762,4290.925434304086,0.44875741041183415,30.975331493508435,69.02466850649157,7664.589924506619,1448.079904033958,0.7436073682031287,58.59241846356576,135.63941937280532,2.3149653646256185,2.3149653646256185,5.104347329033892,1256.0022317038938,1
418,60775,ECG_1,542.9869230931604,122.50501307113946,88.21819061125208,342,57.770270270270274,437,73.81756756756756,88.21819087000688,536.0,958.9400356398029,0.16246835258474773,0.22561319225384227,116.90351779217791,240.90584030288548,49.66887417218543,30.129502043669618,8.013513513513514,,3458.1070026043035,6782.675154922216,0.5098441136598942,33.767996910887796,66.23200308911221,12409.951100136896,2169.1689426103767,0.842854293937952,62.43243318742524,161.6080064273357,2.588526478572131,2.588526478572131,5.207993116638609,1673.3064151456545,1
418,78057,ECG_0,542.7098999439016,129.8434684291807,96.05034504070596,347,60.34782608695652,411,71.47826086956522,96.05037552251021,536.0,968.943975685927,0.17698290658128524,0.2392502300816739,118.11694914396662,307.93242780986697,51.55560806048568,34.28675628176277,7.2,,3337.0460881983486,4876.72578034202,0.6842800351108344,40.62745035541582,59.37254964458417,10146.9740196237,1933.2021510833304,0.7700663158166726,67.97698645915506,170.58071960034385,2.509389257831247,2.509389257831247,5.26841183244548,1712.2137014329078,1
418,78057,ECG_1,538.4006239739444,133.6101936741029,100.65099546804838,354,59.2964824120603,451,75.54438860971524,100.6533156315367,536.0,826.9400356456464,0.18694873510474935,0.24816129054220576,119.02812704758198,240.9058403085377,55.762081784386616,32.528410512889465,8.422535211267606,,7822.9420998146,6053.69118866707,1.292259855352333,56.37492853765942,43.62507146234058,15523.191271023501,1646.5579825418317,0.8668511050107761,71.23068362061282,175.01302071046808,2.456989204857534,2.456989204857534,5.299857455821851,1720.0204103805127,1
418,79942,ECG_0,544.8393774457991,138.61485343011745,98.07188366997607,346,59.86159169550173,413,71.45328719723183,98.07218277604133,536.0,968.943975685927,0.1800020094652531,0.2544141616194159,118.44037721273372,307.93242780986697,51.55560806048568,35.61082741835336,7.618421052631579,,5117.810289927582,5587.1415151859,0.9159979707006397,47.807877915741145,52.192122084258855,13765.715727535618,3060.763922422137,0.7730845704369336,69.40736094822336,183.33241238010515,2.6413972506009533,2.6413972506009533,5.308764767487576,1937.0149200274,1
418,79942,ECG_1,536.2336986582872,136.29991637098158,100.77766769665857,359,59.93322203672788,453,75.62604340567613,100.77792345471441,536.0,818.941572867948,0.18793657263031271,0.254180064982895,119.90994238392227,240.9073272119707,56.17977528089887,33.566622104278416,8.450704225352112,,8837.170920176353,6319.835471112578,1.398322940616144,58.30419735954767,41.69580264045232,16765.021748804407,1608.0153575154761,0.8654741825528097,71.32012975048377,179.07756279849048,2.5108978828978614,2.5108978828978614,5.3103732823690715,1798.5818932209543,1
